phase_connected,final_sigma_P_ns,final_sigma_Pdot_1e-15,total_telescope_time_s,num_epochs,population_type
True,0.0074778685843923266,0.003293143869917378,240.0,4,young
True,0.029640213993961575,0.008204374219602495,240.0,4,young
True,1.1651403339112336,0.05180155982031165,300.0,5,young
True,0.01974505127948716,0.01723190086748195,240.0,4,young
True,1.28997300828897,0.0482636962214524,360.0,6,young
True,2.134002577912629e-05,2.3657207881578827e-05,240.0,4,young
True,31.94292891283805,2.594790781217958,240.0,4,young
True,1.652256050070578,0.26709466962492634,300.0,5,young
True,0.4327778608392212,0.15412070137860084,240.0,4,young
True,0.5464509591339511,0.020052673783878736,300.0,5,young
True,8.545635232985818e-05,2.124642673646217e-05,240.0,4,young
True,0.10292352374596504,0.011818409047744163,240.0,4,young
True,0.0012959203765234631,0.0005566339758894212,240.0,4,young
True,0.0003937885340288411,0.00032069655164883494,240.0,4,young
True,2.7730621943650107,0.6065192002350069,240.0,4,young
True,0.010710154459613352,0.0010395986810748637,240.0,4,young
True,0.019645747921563275,0.0031210011263361876,300.0,5,young
True,0.007332022280011187,0.000987022234912481,300.0,5,young
True,1.1047203049844914,0.19743887912621583,240.0,4,young
True,286.64191838756386,3.361774290674879,420.0,7,young
True,0.18275226265231478,0.05159157758463222,240.0,4,young
True,9.83208893752477,0.7039103492210136,240.0,4,young
True,0.04291715901151106,0.018333768134637836,300.0,5,young
True,0.01030560221778917,0.0020877970812638183,300.0,5,young
True,1.239124524995309,0.3754930117148683,240.0,4,young
True,2.1172645582599134,0.1600707607228191,240.0,4,young
True,0.0008046074229380468,0.0012431339668961378,240.0,4,young
True,0.0033128510216764006,0.003662623924723081,240.0,4,young
True,0.37520601494239875,0.14897526707143366,240.0,4,young
True,0.0735983925230618,0.011116844504080002,300.0,5,young
False,60.80875642698063,4.16035308719771,300.0,5,young
True,0.02017575312492659,0.0024276096386957567,240.0,4,young
True,0.0034267797375966006,0.0021626870238688543,300.0,5,young
True,7.738808988597818e-06,2.666071253539783e-05,240.0,4,young
True,0.029026693702167053,0.023409287388076738,240.0,4,young
True,0.0010675473651212829,0.0021805876233748625,240.0,4,young
True,0.00369725898254994,0.002091245631133643,240.0,4,young
True,0.034734661624572845,0.023979997672909127,240.0,4,young
True,0.00016627421201553558,0.00037609953180146367,240.0,4,young
True,0.11105281582318871,0.009042274803738473,300.0,5,young
True,0.003109633648708372,0.005167625313785625,240.0,4,young
True,0.02643535752903215,0.023128323492174793,240.0,4,young
True,0.5589801286453676,0.09485276287115521,300.0,5,young
True,0.02744407929705083,0.02260430080218812,240.0,4,young
True,0.0010735661371327212,0.0009470342538532254,240.0,4,young
True,0.0015831038689460592,0.001017306681724206,240.0,4,young
True,0.08126292144659338,0.04266349487921073,240.0,4,young
True,0.00897566713534097,0.0025125209977411994,240.0,4,young
True,0.3302495503834178,0.0299873299029363,240.0,4,young
True,0.17509788525738404,0.041967304473985695,240.0,4,young
True,0.2824688920946454,0.010235015061509714,300.0,5,young
True,1.6898879786438519,0.22019963708681126,240.0,4,young
True,0.0005534297626647835,0.00031955375900625984,240.0,4,young
True,0.05230517317200034,0.006671327832380725,300.0,5,young
True,0.0010342898301884213,0.00029347255618108965,300.0,5,young
True,0.11149359329439094,0.01768356686760408,300.0,5,young
True,0.11781806834009557,0.00787384879915282,300.0,5,young
True,2.654384637467615e-05,8.090440629778421e-06,240.0,4,young
True,0.022964996848692364,0.007944652984531881,240.0,4,young
True,0.01046868883057966,0.0025559104803311765,300.0,5,young
True,0.16052429973468132,0.0638917383737772,240.0,4,young
True,0.009824677493421297,0.005417614057583299,240.0,4,young
True,6.188849841827084e-05,6.082480025575408e-05,240.0,4,young
True,4.050923078485889,0.06699433354726511,300.0,5,young
True,0.00020953386542899683,0.00015790646855921682,240.0,4,young
True,0.21113550310549617,0.06433221949559892,240.0,4,young
True,1.5934650209042749,0.11992297591818069,300.0,5,young
True,53.4174612399929,1.4425379091996822,360.0,6,young
True,0.08379076691127746,0.010029678078560905,300.0,5,young
True,0.055668638183921905,0.009147097791667341,240.0,4,young
True,0.0001997864643062739,0.0010171282442652727,240.0,4,young
True,0.07760207788833953,0.02555089424254969,300.0,5,young
