mass_1_source,mass_2_source,a_1,a_2,final_mass_source,final_spin,redshift,cos_tilt_1,cos_tilt_2,chi_eff,chi_p,cos_theta_jn,phi_jl,log_likelihood
122.27851037161419,80.67483992094236,0.8642439098151922,0.8991051202093516,192.99693274434497,0.7347915518520499,0.5309073402061827,0.04096276708068652,0.5024149473021632,0.20089164043185648,0.8635185271047986,0.3205718980413449,3.681158203065932,239.03900544825723
127.40151801845929,88.76201404280937,0.9059207507382814,0.14744355501294862,206.17400287104792,0.7432888824538386,0.33756439407861616,-0.013127991202698839,0.6594082315514722,0.03291376009321097,0.9058426823022333,-0.18284474975886444,0.49919202744877084,241.11877777907634
157.94535596732217,45.44829915361185,0.9056726158861812,0.26064242579062225,195.76591843797374,0.8807864040529338,0.6563803187179691,0.6282948561466448,0.2942610274594239,0.4590177719890351,0.7045909287300953,0.8707531137441102,5.947273190528216,241.69613853941664
137.22604091909744,57.28259311599422,0.949607905970795,0.15194836478618928,186.892745304365,0.8151289981667792,0.6273051884647642,0.28626099104621905,-0.545571066201026,0.1673668036299609,0.909868411992503,0.9297096185311445,5.22582251598005,242.0572023750542
150.05732271420993,73.92650343784963,0.8296551063238811,0.5359887996437447,214.16732258700185,0.7945327065021233,0.3490109336928079,0.2230905790921319,0.7148445815096103,0.2504586573455944,0.8087459054364391,0.6952128952858934,2.4700480499357047,243.16934909046574
132.67959197707097,51.02005952903405,0.945688867881669,0.19260012425168888,174.90621242500936,0.8837915922352626,0.8173189760699483,0.654536360715904,-0.19811535269115946,0.4364747941224488,0.7149696498759014,0.9173829499421927,6.231560361054927,243.24807185672702
150.3362943514084,57.67332851112989,0.9162379190517439,0.3835033788147776,199.39329500422977,0.8400312745922434,0.4736242790249691,0.51328478693773,-0.6109989599190472,0.2749285311331407,0.7863321904100729,0.9377022303764357,1.4602829167719575,243.2483348907906
161.58469760412336,77.50000477460199,0.9785964214382805,0.260561272489406,228.62733493635903,0.8323380864424507,0.34911429633464147,0.35291020320144373,-0.5986011519148621,0.1828494214474127,0.9156307837245837,0.9123946444706837,0.24824139497672942,243.5709436956147
147.54850919512265,57.58795257684075,0.8841677586476925,0.5537649800038126,195.70986625202536,0.8743506536809673,0.5874238958077018,0.5915604103038669,0.5463786895854664,0.4611451911832207,0.7128696965925626,0.7393455458862905,5.697226071250903,244.0967398512192
134.0236348728909,64.47246134152603,0.8395100630404538,0.25653978283428214,190.90274900887295,0.716093980067761,0.4442332373582882,-0.04697454777211948,0.8721904089397345,0.04604881085215149,0.8385833166478968,0.8651761666748041,2.663006304956392,244.25772978576933
